job_title,location,company,salary,rating,summary
"Data Analyst, Data Analytics","Oakland, CA 94612 (Downtown area)",WCIRB,,,"The Data Analyst will work on various WCIRB datasets, such as medical and indemnity transaction data, Policy and Unit Statistical Report data, Hoovers data and…"
Software Engineer- Data Engineering,"San Francisco, CA 94105 (South Beach area)",DocuSign,,3.8,"Analyze data sets and define requirements for delivering new data to business partners. Analyze source system APIs, data schema, and data profiles to define…"
"Business Intelligence & Tools Analyst, Dockers","San Francisco, CA (North Waterfront area)",Levi Strauss & Co.,,3.9,"Experience in computer database management, programming, or software development. Partner with IT support team for all data and reporting issue by evaluating…"
Senior Data Analyst,"San Francisco, CA",Discord,,4.3,"In this central role, you will partner closely with product and business teams to define goals, provide insights, and build data tools."
Data Scientist,"San Francisco, CA 94105 (South Beach area)",Global Software Resources,$60 - $65 an hour,,2 years of relevant experience in data science or advanced analytics (through graduate education or work experience). Work closely with domain experts.
QA Engineer - Data,"San Francisco Bay Area, CA",Human API,,,Bespoke data pipeline logic and processes. Conventional(-ish) ETL reporting and data engineering. Bachelor's degree in Computer science or related field of…
AWS Lead Data Engineer,"San Mateo, CA",clifyx inc,$70 - $80 an hour,,Mentor data engineers and other stakeholders on the best practices of managing a large-scale production data platform and developing a data-driven operations…
Data Scientist,"San Francisco, CA",Change Research,"$90,000 - $130,000 a year",4.5,"Strong SQL and R skills, as a way to engage with data analysts in the company. Experience with our data infrastructure stack — Redis, Google Could Services …"
Survey Data Analyst,"San Francisco, CA",Change Research,,4.5,Proficient with Python and/or R and/or Excel and/or SQL. Experienced in politics or social science and well versed in the language of data.
Data Scientist,"San Francisco, CA 94104 (Financial District area)","Grammarly, Inc.",,4.8,"Has a solid technical background (with a computer science degree or relevant work experience). Through various research and collaboration, you will continue…"
Data Engineer,"San Francisco, CA",0x,,,Experience with Apache Kafka or other data queuing systems. Collaborate with Platform engineers to scale the data and services infrastructure.
Product Data Scientist - Ads Data Science,"San Francisco, CA 94103 (South of Market area)",Twitter,,4.1,"PhD or MS in computer science, machine learning, or statistics. Good understanding of how to grow and shape data tools and datasets to improve data-driven…"
Data Analyst,"San Francisco, CA",VGW,,,"1+ years of experience in data analyst position,. We work alongside the business to provide analytics that improve and monitor our products to drive business…"
Data Scientist - Marketplace Fairness,"San Francisco, CA 94103 (South of Market area)",Uber,,3.7,"Experience doing research on fairness or discrimination that has been published or communicated publicly; alternatively, experience helping large organizations…"
Senior Business Intelligence Analyst,"San Francisco, CA",ChilliConnect,,,Creative problem solving and solution-oriented approaches when working with incomplete or ambiguous data. Working knowledge of a SaaS metrics and business model…
Product Data Scientist - Ads Data Science,"San Francisco, CA 94103 (South of Market area)",Twitter,,4.1,"PhD or MS in computer science, machine learning, or statistics. Good understanding of how to grow and shape data tools and datasets to improve data-driven…"
Data Analyst,"San Francisco, CA",VGW,,,"1+ years of experience in data analyst position,. We work alongside the business to provide analytics that improve and monitor our products to drive business…"
Data Scientist - Marketplace Fairness,"San Francisco, CA 94103 (South of Market area)",Uber,,3.7,"Experience doing research on fairness or discrimination that has been published or communicated publicly; alternatively, experience helping large organizations…"
Senior Business Intelligence Analyst,"San Francisco, CA",ChilliConnect,,,Creative problem solving and solution-oriented approaches when working with incomplete or ambiguous data. Working knowledge of a SaaS metrics and business model…
Data Analyst,"San Francisco, CA 94123 (Cow Hollow area)",hint,,4.3,"You will look for data trends that provide actionable insights to help the business grow and succeed. You will help report on key metrics, analyze data from…"
"Data Scientist, Hardware","San Francisco, CA",Square,,3.6,"An ability to translate ambiguous, unstructured business problems into actionable data-driven analyses. Develop and maintain curated data sets using ETL and…"
Senior Data Engineer,"San Francisco, CA",Gametime,"$125,000 - $170,000 a year",,Familiarity with business intelligence/analytics tools like Tableau or Periscope Data. Collaborate with our data scientists to productionize their models.
Junior Data Analyst,"Berkeley, CA 94710",LifeLong Medical Care,,3.3,"Assists data analytic team in database optimization and maintenance. Under the supervision of the DCMO, the junior data analyst supports data analytic team with…"
Finance Business Systems Analyst,"San Rafael, CA",Applicantz,$50 - $60 an hour,,"This position documents data flows, data mappings, performs data lineage analysis as required. Prior demonstrated experience with business analysis,…"
Data Scientist,"San Francisco, CA",Extend,,,"Experience in the retail or fintech landscape or machine learning is a plus. 2-4 years of analytics, management consulting, finance, and/or strategic operations…"
Growth Marketing Data Analyst,"San Francisco, CA",Kabam,,4.1,"Experience working for a social or mobile game developer. Finding answers to business questions via hands-on exploration of data sets using SQL, dashboards,…"
Business Operations Analyst,"San Francisco, CA",eXp Realty,,4.4,"Collect, analyze, and evaluate financial, operational, and market data to increase understanding of historical trends and to determine and promote data driven…"
Customer Care Database Administrator,"San Francisco, CA 94105 (Financial District area)",PG&E Corporation,,3.8,Ensures data transferred between business information systems are timely and meet requirements. Bachelors Degree in Computer Science or job-related discipline…
Head of Business Operations & Intelligence,"San Francisco, CA",Augmedix Inc.,,,"Serve as a primary resource for data reporting, data analysis, and data interpretation. Strong quantitative skills and knowledge of data collection methods (SQL…"
Data Scientist - Developer Services,"San Mateo, CA",Roblox,,4.3,An expert transforming data with SQL and a scripting language such as Python or R. You're experienced in automating efforts and crunching massive volumes of…
Data Scientist - Developer Services,"San Mateo, CA",Roblox,,4.3,An expert transforming data with SQL and a scripting language such as Python or R. You're experienced in automating efforts and crunching massive volumes of…
Data and Policy Analyst - Writer/Coordinator,"Burlingame, CA 94010",Acumen LLC,,3.7,"Bachelor’s degree in a quantitative, public policy, or related field or equivalent relevant experience. This position is responsible for managing and analyzing…"
Salesforce Business Analyst,"San Francisco Bay Area, CA",Gong,,4.5,"Fundamental understanding of subscription based businesses. Be able to see a task from a business standpoint, not just a technical standpoint."
Market / Equity Research Analyst,"Oakland, CA 94607 (Old City area)",Bay Street Research,"$55,000 - $71,000 a year",,"Work experience in consumer, market or financial research. We rely upon on our Analysts to conduct primary qualitative research, analyze collected data, and…"
Data scientist,"San Francisco, CA",Avila Trading,,,"Hands on experience in SQL/Hive or similar programming language. Must show past work via GitHub, Kaggle or any other published article."
Analyst,"San Francisco, CA 94124 (Bayview area)",Nan McKay,,3.6,"Background in data relationships, data mining and quantitative vs. qualitative analysis. Analyze data to identify significant differences, relationships and…"
